Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Ast/90,npG/90,npG+A/90,xA/90,npxG/90,npxG+xA/90,Shots/90,SoTs/90,SoT%,Gls/Shot,Gls/SoT,AvgShotDist,FKSht/90,npxG/Shot,np:G-xG,PassCmp/90,PassAtt/90,PassCmp%,TotDistPass/90,PrgDistPass/90,ShortCmp/90,ShortAtt/90,ShortCmp%,MedCmp/90,MedAtt/90,MedCmp%,LongCmp/90,LongAtt/90,LongCmp%,KeyPass/90,PassIntoThird/90,PassIntoBox/90,CrossIntoBox/90,ProgPass/90,LivePassAtt/90,DeadPassAtt/90,FKPassAtt/90,TBCmp/90,PassUnderPress/90,Switches/90,Crosses/90,GroundPass/90,LowPass/90,HighPass/90,LeftPass/90,RightPass/90,HeadPass/90,ThrowPass/90,OtherPartPass/90,OffsidePass/90,OutOBPass/90,PassesInt/90,PassesBlk/90,SCA/90,PassLiveSCA/90,PassDeadSCA/90,DribSCA/90,ShSCA/90,FoulSCA/90,DefSCA/90,GCA/90,PassLiveGCA/90,PassDeadGCA/90,DribGCA/90,ShGCA/90,FoulGCA/90,DefGCA/90,TklAtt/90,TklW/90,Def 3rdTkl/90,Mid 3rdTkl/90,Att 3rdTkl/90,TklvDribW/90,TklvDribAtt/90,Tkl%vDrib,DribPast/90,PressAtt/90,SuccPress/90,PressSucc%,Def 3rdPress/90,Mid 3rdPress/90,Att 3rdPress/90,Blocks/90,ShotBlocks/90,PassBlk/90,Interceptions/90,Clearances/90,ErrToShot/90,Touches/90,Def PenTchs/90,Def 3rdTchs/90,Mid 3rdTchs/90,Att 3rdTchs/90,Att PenTchs/90,%TchsDefPen,%TchsDefThrd,%TchsMidThrd,%TchsAttThrd,%TchsAttPen,LiveTchs/90,SuccDrib/90,AttDrib/90,DribSucc%,PlayersDribPast/90,Megs/90,Carries/90,TotDistCarry/90,PrgDistCarry/90,ProgCarry/90,CarryIntoThird/90,CarryIntoBox/90,Miscontrol/90,Dispossessed/90,PassTarget/90,PassesReceived/90,PassRec%,ProgPassReceived/90
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,17.0,2002.0,7,0,56,0.6,0.0,0.0,0.0,0.06,0.16,0.22,5.0,3.33,66.7,0.0,0.0,22.8,0.0,0.03,-0.17,60.0,66.7,90.0,1005.0,150.0,30.0,31.7,94.7,21.7,23.3,92.9,8.33,10.0,83.3,1.67,5.0,0.0,0.0,3.33,66.7,0.0,0.0,0.0,15.0,1.67,0.0,56.7,6.67,3.33,53.3,10.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,8.33,3.33,0.0,0.0,1.67,3.33,0.0,1.67,0.0,0.0,0.0,1.67,0.0,0.0,3.33,3.33,0.0,3.33,0.0,0.0,0.0,,0.0,26.7,3.33,12.5,8.33,15.0,3.33,1.67,0.0,1.67,1.67,0.0,0.0,96.7,0.0,6.67,68.3,21.7,1.67,0,0.0689762151,0.7063081696,0.2244053775,0.01726990693,96.7,1.67,5.0,33.3,1.67,0.0,78.3,398.3,138.3,8.33,0.0,1.67,5.0,1.67,96.7,81.7,84.5,5.0
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,de Bundesliga,22.0,1998.0,26,9,977,10.9,0.28,0.18,0.46,0.27,0.15,0.42,1.74,0.55,31.6,0.11,0.33,20.4,0.09,0.08,0.04,33.1,45.7,72.5,556.0,179.0,15.7,19.9,78.8,13.4,17.2,77.7,3.12,6.24,50.0,2.29,2.29,1.74,0.37,3.76,40.1,5.6,0.92,0.37,9.63,1.47,1.56,32.1,5.32,8.26,8.26,32.5,1.56,1.83,0.18,0.0,0.73,1.74,1.19,3.58,2.39,0.73,0.18,0.0,0.18,0.09,0.55,0.37,0.09,0.09,0.0,0.0,0.0,2.84,1.65,1.1,0.64,1.1,0.92,2.75,33.3,1.83,26.5,7.8,29.4,5.32,11.4,9.82,1.83,0.09,1.74,1.28,0.83,0.0,61.7,1.1,6.97,29.4,30.1,3.12,0.01782820097,0.1129659643,0.4764991896,0.4878444084,0.05056726094,56.1,1.83,3.76,48.8,2.2,0.09,40.8,221.4,117.1,6.42,2.2,0.46,2.75,2.84,50.9,39.4,77.5,5.69
Harvey Barnes,eng ENG,"FW,MF",Leicester City,eng Premier League,22.0,1997.0,25,22,1945,21.6,0.19,0.42,0.6,0.07,0.29,0.35,2.55,1.16,45.5,0.16,0.36,16.9,0.0,0.11,0.13,21.7,29.0,74.8,335.1,86.8,12.3,15.3,80.1,7.27,9.17,79.3,1.53,2.36,64.7,1.16,1.71,0.88,0.09,2.87,28.8,0.14,0.05,0.14,6.25,0.32,0.83,20.9,4.17,3.89,2.5,23.9,1.44,0.09,0.23,0.05,0.51,0.69,1.39,3.15,2.04,0.0,0.37,0.32,0.37,0.05,0.37,0.23,0.0,0.09,0.0,0.05,0.0,1.02,0.65,0.42,0.28,0.32,0.19,0.88,21.1,0.69,10.5,3.19,30.4,2.82,4.21,3.47,1.11,0.19,0.93,0.74,0.6,0.0,43.2,0.83,5.65,19.5,23.9,5.05,0.01921296296,0.130787037,0.4513888889,0.5532407407,0.1168981481,43.1,1.3,3.19,40.6,1.3,0.05,32.5,234.8,165.7,8.24,3.84,1.76,2.45,2.45,46.3,32.7,70.6,6.25
Musa Barrow,gm GAM,"FW,MF",Bologna,it Serie A,21.0,1998.0,38,34,2921,32.5,0.25,0.25,0.49,0.16,0.25,0.41,2.77,1.17,42.2,0.09,0.21,20.0,0.18,0.09,0.0,25.8,36.2,71.3,484.5,122.4,12.5,15.0,83.3,8.92,11.7,76.3,3.82,7.72,49.4,1.78,2.37,0.98,0.37,2.74,32.4,3.78,1.02,0.06,5.66,2.46,2.09,22.7,5.45,8.03,3.88,29.4,1.54,0.43,0.25,0.25,0.68,1.48,1.23,3.26,2.28,0.4,0.25,0.28,0.06,0.0,0.34,0.25,0.06,0.0,0.03,0.0,0.0,0.65,0.25,0.18,0.28,0.18,0.12,0.83,14.8,0.71,14.2,3.69,26.0,3.08,5.11,6.03,1.35,0.12,1.23,0.43,0.55,0.0,49.2,0.74,5.26,22.3,25.2,4.43,0.01504065041,0.1069105691,0.4532520325,0.512195122,0.09004065041,45.4,1.11,2.4,46.2,1.38,0.06,33.0,178.5,95.3,5.75,1.69,0.8,3.02,1.94,55.1,37.1,67.3,8.15
Jon Bautista,es ESP,"FW,MF",Real Sociedad,es La Liga,25.0,1995.0,21,0,370,4.1,0.24,0.0,0.24,0.06,0.23,0.29,2.93,0.73,25.0,0.0,0.0,12.9,0.0,0.08,-0.24,13.4,21.7,61.8,208.0,36.3,6.34,9.51,66.7,5.12,7.8,65.6,0.98,2.2,44.4,0.98,0.73,0.24,0.0,0.98,20.0,1.71,0.0,0.0,7.56,0.49,0.73,12.0,4.39,5.37,4.15,11.2,2.44,0.0,0.24,0.0,0.49,0.49,0.49,2.2,1.71,0.0,0.0,0.49,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,1.46,1.22,0.0,0.98,0.49,0.0,1.22,0.0,1.22,20.2,5.12,25.3,0.98,10.5,8.78,1.22,0.49,0.73,0.49,0.98,0.0,35.6,1.22,1.95,16.1,20.0,5.85,0.03426966292,0.0547752809,0.452247191,0.5617977528,0.1643258427,33.9,0.49,0.98,50.0,0.49,0.0,18.8,83.4,43.2,2.93,0.98,0.49,2.93,2.44,48.3,24.1,50.0,8.05
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,de Bundesliga,23.0,1996.0,5,0,36,0.4,2.5,0.0,2.5,1.77,0.0,1.77,0.0,0.0,,,,,0.0,,0.0,15.0,32.5,46.2,195.0,57.5,7.5,12.5,60.0,5.0,10.0,50.0,0.0,5.0,0.0,2.5,0.0,0.0,0.0,0.0,30.0,2.5,0.0,0.0,7.5,0.0,0.0,12.5,10.0,10.0,2.5,15.0,5.0,0.0,2.5,0.0,5.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,2.5,2.5,100.0,0.0,25.0,7.5,30.0,2.5,22.5,0.0,2.5,0.0,2.5,5.0,0.0,0.0,70.0,2.5,10.0,47.5,15.0,5.0,0.03571428571,0.1428571429,0.6785714286,0.2142857143,0.07142857143,67.5,2.5,10.0,25.0,2.5,0.0,35.0,90.0,27.5,2.5,0.0,2.5,5.0,12.5,52.5,35.0,66.7,10.0
Sheraldo Becker,nl NED,"FW,MF",Union Berlin,de Bundesliga,25.0,1995.0,18,15,1106,12.3,0.24,0.24,0.49,0.26,0.17,0.43,2.52,0.81,32.3,0.1,0.3,22.0,0.0,0.07,0.08,17.2,27.3,63.1,302.4,95.3,8.37,11.3,74.1,7.15,10.7,67.2,1.38,3.66,37.8,1.54,0.81,1.46,1.14,1.87,26.8,0.49,0.0,0.08,4.8,0.98,4.31,15.1,6.02,6.18,3.9,20.3,1.87,0.33,0.33,0.16,0.81,0.98,1.54,3.01,2.28,0.0,0.24,0.24,0.24,0.0,0.73,0.57,0.0,0.08,0.0,0.08,0.0,0.65,0.57,0.24,0.24,0.16,0.24,0.41,60.0,0.16,10.5,3.17,30.2,1.79,5.04,3.66,0.81,0.0,0.81,0.41,0.41,0.0,37.6,0.57,5.77,15.5,19.5,4.47,0.01515957447,0.1534574468,0.4122340426,0.5186170213,0.1188829787,37.2,0.98,1.71,57.1,1.06,0.08,24.2,215.2,142.6,6.42,1.87,2.2,2.03,1.79,43.6,25.2,57.8,6.99
Karim Bellarabi,de GER,"FW,MF",Leverkusen,de Bundesliga,30.0,1990.0,22,7,798,8.9,0.0,0.0,0.0,0.2,0.25,0.45,3.26,1.01,31.0,0.0,0.0,18.0,0.0,0.08,-0.25,32.9,46.3,71.1,529.9,148.7,18.5,22.4,82.9,11.5,15.5,73.9,2.47,5.96,41.5,1.57,1.57,1.69,0.67,3.03,43.9,2.36,0.11,0.0,7.53,1.57,5.84,29.6,8.88,7.87,3.6,39.1,0.79,2.13,0.45,0.45,0.9,1.69,2.81,3.37,2.25,0.0,0.9,0.22,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,1.8,1.35,0.45,0.56,0.79,0.45,2.47,18.2,2.02,16.1,4.38,27.3,3.48,7.42,5.17,1.24,0.0,1.24,1.46,0.9,0.0,60.9,0.9,7.87,24.0,34.6,5.84,0.01477832512,0.129228243,0.39408867,0.5681444992,0.09589490969,58.7,2.92,4.38,66.7,2.92,0.22,47.9,237.3,150.6,9.21,2.92,1.46,2.7,2.47,56.4,44.6,79.1,8.54
Saïd Benrahma,dz ALG,"FW,MF",West Ham,eng Premier League,24.0,1995.0,30,14,1391,15.5,0.39,0.06,0.45,0.28,0.15,0.43,2.26,0.71,31.4,0.03,0.09,19.9,0.06,0.07,-0.08,26.5,34.0,78.0,412.5,117.7,15.2,17.0,89.4,8.52,10.7,79.5,1.87,4.26,43.9,1.74,2.65,1.42,0.39,3.03,33.2,0.77,0.06,0.19,5.29,0.65,2.52,25.4,3.94,4.71,4.77,27.7,0.84,0.32,0.19,0.19,0.52,1.1,1.03,3.55,3.16,0.0,0.19,0.06,0.06,0.06,0.58,0.58,0.0,0.0,0.0,0.0,0.0,2.0,1.35,0.65,0.97,0.39,0.52,1.81,28.6,1.29,18.6,4.71,25.3,5.29,9.23,4.13,0.97,0.0,0.97,0.84,0.65,0.0,48.6,0.9,7.29,21.7,23.9,3.94,0.01851851852,0.15,0.4465020576,0.4917695473,0.08106995885,47.8,3.1,5.35,57.8,3.48,0.45,40.3,240.2,136.7,8.0,2.06,0.97,2.06,2.77,46.3,34.4,74.2,5.55
Domenico Berardi,it ITA,"FW,MF",Sassuolo,it Serie A,25.0,1994.0,30,28,2475,27.5,0.25,0.36,0.62,0.19,0.31,0.5,3.71,1.09,29.4,0.1,0.33,20.9,0.36,0.08,0.05,35.9,47.2,76.2,692.5,193.3,15.0,17.6,85.2,14.7,17.6,83.5,5.42,9.53,56.9,2.07,2.29,3.53,0.76,5.96,43.5,3.67,1.42,0.25,8.84,1.96,2.33,32.9,4.91,9.35,40.3,5.45,0.91,0.22,0.11,0.18,0.87,1.13,2.07,4.69,3.09,0.51,0.29,0.36,0.25,0.18,0.62,0.36,0.07,0.0,0.11,0.04,0.04,1.45,0.84,0.65,0.29,0.51,0.51,2.0,25.5,1.49,15.6,5.02,32.1,4.76,6.18,4.69,1.31,0.07,1.24,1.27,1.42,0.0,61.2,1.56,7.49,24.0,34.0,4.55,0.02549019608,0.1223856209,0.3921568627,0.5555555556,0.07434640523,57.5,1.09,2.07,52.6,1.09,0.25,44.7,265.8,147.7,8.11,2.11,1.2,1.71,1.53,54.0,45.1,83.6,7.27
Steven Bergwijn,nl NED,"FW,MF",Tottenham,eng Premier League,22.0,1997.0,21,13,1208,13.4,0.22,0.07,0.3,0.09,0.18,0.28,1.12,0.37,33.3,0.07,0.2,16.3,0.0,0.17,-0.11,25.9,31.9,81.1,361.3,63.4,16.1,18.1,89.3,7.76,9.55,81.3,0.67,2.31,29.0,1.04,1.57,0.67,0.0,1.34,31.2,0.75,0.22,0.0,5.52,0.3,0.9,25.4,2.99,3.58,1.27,29.6,0.9,0.07,0.0,0.0,0.15,0.82,0.67,2.46,1.79,0.07,0.0,0.15,0.37,0.07,0.45,0.22,0.0,0.0,0.07,0.07,0.07,1.19,0.75,0.52,0.22,0.45,0.45,1.79,25.0,1.34,17.9,4.7,26.3,4.4,7.09,6.42,0.75,0.07,0.67,0.9,0.37,0.0,42.5,0.97,6.34,20.1,20.5,3.13,0.02282352941,0.1491764706,0.4729411765,0.4823529412,0.07364705882,41.8,1.57,3.06,51.2,1.72,0.0,33.3,178.5,95.7,4.7,1.79,0.67,2.16,1.72,46.8,31.6,67.6,5.22
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,de Bundesliga,18.0,2001.0,19,1,270,3.0,0.0,0.67,0.67,0.08,0.69,0.77,3.0,1.67,55.6,0.22,0.4,11.8,0.0,0.23,-0.03,19.0,27.0,70.4,379.3,111.3,9.33,13.0,71.8,5.67,7.33,77.3,3.33,4.33,76.9,1.33,2.33,1.33,0.0,3.33,26.3,0.67,0.33,0.0,8.33,1.0,0.0,13.0,5.0,9.0,2.67,17.7,4.33,0.0,0.67,0.0,0.67,0.33,1.33,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.33,1.33,0.33,1.33,2.33,57.1,1.0,23.0,9.33,40.6,2.33,12.0,8.67,1.67,0.0,1.67,1.0,0.33,0.0,43.0,1.0,6.0,22.3,17.7,7.67,0.02325581395,0.1395348837,0.5186046512,0.411627907,0.178372093,42.7,0.33,1.67,20.0,1.0,0.0,23.0,101.0,62.0,1.0,0.67,0.33,3.67,2.0,51.3,26.7,51.9,5.33
El Bilal Touré,ml MLI,"FW,MF",Reims,fr Ligue 1,18.0,2001.0,33,11,1245,13.8,0.07,0.29,0.36,0.04,0.17,0.22,1.45,0.65,45.0,0.2,0.44,10.8,0.0,0.12,0.12,14.1,20.5,68.9,200.1,34.9,8.26,11.1,74.5,4.64,6.96,66.7,0.72,1.01,71.4,0.65,0.87,0.14,0.0,0.87,18.6,1.88,0.0,0.14,6.88,0.14,0.14,11.7,5.58,3.19,4.06,10.4,1.59,0.0,0.72,0.07,0.43,0.43,0.58,1.16,0.87,0.0,0.07,0.07,0.07,0.07,0.22,0.14,0.0,0.0,0.0,0.0,0.07,1.88,1.01,0.29,1.23,0.36,0.29,1.01,28.6,0.72,19.1,4.13,21.7,2.54,9.49,7.03,0.72,0.14,0.58,0.36,1.3,0.0,31.9,1.74,3.77,17.5,12.9,3.48,0.05454545455,0.1181818182,0.5485893417,0.4043887147,0.1090909091,30.0,0.72,1.52,47.6,0.94,0.07,15.9,71.9,36.9,1.96,1.01,0.36,2.68,1.45,44.7,21.1,47.2,5.72
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,it Serie A,23.0,1997.0,27,20,1785,19.8,0.1,0.2,0.3,0.06,0.18,0.24,1.67,0.76,45.5,0.12,0.27,15.4,0.0,0.11,0.02,34.6,39.1,88.5,483.4,76.7,23.2,25.5,90.9,9.14,10.0,91.4,1.52,1.82,83.3,0.61,1.16,0.86,0.0,2.17,37.9,1.21,0.2,0.05,7.53,0.35,1.01,32.7,4.7,1.77,3.13,34.4,0.4,0.51,0.45,0.05,0.25,0.81,0.96,2.17,1.36,0.1,0.51,0.05,0.15,0.0,0.35,0.2,0.0,0.1,0.0,0.05,0.0,0.76,0.66,0.25,0.15,0.35,0.05,0.66,7.7,0.61,11.1,3.38,30.6,2.12,3.84,5.1,0.86,0.0,0.86,0.61,0.56,0.0,52.8,1.16,7.47,22.7,28.5,4.09,0.02196969697,0.1414772727,0.4299242424,0.5397727273,0.07746212121,51.7,4.19,7.32,57.2,4.6,0.25,46.7,278.3,153.3,8.38,2.68,1.21,2.27,2.53,54.6,43.5,79.7,6.11
Sofiane Boufal,ma MAR,"FW,MF",Angers,fr Ligue 1,26.0,1993.0,14,9,732,8.1,0.0,0.12,0.12,0.05,0.19,0.24,1.73,0.62,35.7,0.07,0.2,15.9,0.25,0.11,-0.07,25.6,35.2,72.6,420.6,98.3,13.0,15.8,82.0,10.0,12.2,81.8,2.1,4.81,43.6,0.62,2.35,0.99,0.12,2.35,34.1,1.11,0.25,0.25,5.56,1.11,1.6,26.3,3.95,4.94,7.28,26.2,1.23,0.12,0.0,0.0,0.37,1.36,1.73,2.22,1.23,0.0,0.37,0.0,0.49,0.12,0.25,0.0,0.0,0.0,0.0,0.25,0.0,2.1,1.6,1.23,0.62,0.25,1.23,3.09,40.0,1.85,17.8,5.19,29.2,6.91,7.78,3.09,1.85,0.12,1.73,0.62,0.12,0.0,53.5,0.25,8.64,28.4,22.3,3.21,0.004672897196,0.1614953271,0.5308411215,0.4168224299,0.06,52.5,4.94,8.27,59.7,5.31,0.25,45.2,219.9,128.8,6.42,2.72,0.62,1.48,4.94,47.7,39.0,81.9,4.32
Jarrod Bowen,eng ENG,"FW,MF",West Ham,eng Premier League,23.0,1996.0,38,30,2562,28.5,0.18,0.28,0.46,0.16,0.22,0.38,1.93,0.56,29.1,0.15,0.5,16.2,0.0,0.11,0.06,17.5,25.8,68.0,339.9,75.4,7.51,9.82,76.4,6.7,8.53,78.6,2.91,5.82,50.0,0.98,0.77,0.77,0.32,1.3,23.2,2.56,0.18,0.04,5.47,1.61,1.82,15.5,4.18,6.07,19.4,5.02,0.53,0.04,0.14,0.14,0.35,0.56,1.65,2.74,1.54,0.39,0.14,0.35,0.28,0.04,0.39,0.21,0.11,0.0,0.07,0.0,0.0,0.81,0.49,0.39,0.28,0.14,0.18,1.09,16.1,0.91,12.8,3.4,26.6,3.16,4.95,4.7,1.37,0.04,1.33,0.77,0.18,0.0,37.4,0.53,5.61,15.1,20.3,4.21,0.01417112299,0.15,0.4037433155,0.5427807487,0.1125668449,34.8,1.4,2.25,62.5,1.4,0.11,26.9,192.2,82.9,3.96,0.98,1.3,1.79,2.32,39.8,24.8,62.3,6.28
Umut Bozok,tr TUR,"FW,MF",Lorient,fr Ligue 1,23.0,1996.0,5,0,61,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,24.3,38.6,63.0,412.9,52.9,7.14,15.7,45.5,14.3,20.0,71.4,1.43,1.43,100.0,0.0,1.43,1.43,0.0,1.43,38.6,0.0,0.0,0.0,11.4,1.43,0.0,25.7,10.0,2.86,4.29,28.6,2.86,0.0,2.86,0.0,1.43,1.43,1.43,5.71,2.86,0.0,1.43,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.7,5.71,36.4,2.86,8.57,4.29,0.0,0.0,0.0,0.0,0.0,0.0,61.4,0.0,4.29,35.7,27.1,4.29,0,0.06986970684,0.5814332248,0.4413680782,0.06986970684,61.4,2.86,5.71,50.0,2.86,0.0,47.1,234.3,98.6,8.57,5.71,0.0,8.57,1.43,67.1,48.6,72.3,14.3
Julian Brandt,de GER,"FW,MF",Dortmund,de Bundesliga,24.0,1996.0,31,17,1495,16.6,0.12,0.18,0.3,0.17,0.18,0.35,1.39,0.48,34.8,0.13,0.38,17.6,0.06,0.13,0.0,46.3,54.9,84.2,801.2,189.5,22.2,25.8,86.0,16.9,19.5,86.7,5.6,6.69,83.8,1.81,3.61,1.87,0.18,5.24,53.4,1.57,0.36,0.42,8.01,1.99,1.51,43.9,6.57,4.52,10.2,42.6,0.9,0.42,0.54,0.06,0.66,1.93,1.08,4.04,3.37,0.12,0.24,0.12,0.18,0.0,0.54,0.36,0.0,0.12,0.0,0.06,0.0,1.87,1.02,0.96,0.72,0.18,0.9,2.41,37.5,1.51,19.0,6.02,31.7,5.12,9.4,4.46,1.63,0.06,1.57,0.84,0.42,0.0,67.5,0.9,8.25,30.5,32.8,3.92,0.01333333333,0.1222222222,0.4518518519,0.4859259259,0.05807407407,66.1,1.87,2.83,66.0,1.99,0.12,48.2,257.8,97.0,5.54,1.57,0.6,2.17,1.99,63.5,52.3,82.4,9.22
Juan Brunetta,ar ARG,"FW,MF",Parma,it Serie A,23.0,1997.0,12,4,475,5.3,0.38,0.19,0.57,0.13,0.24,0.38,1.89,0.94,50.0,0.1,0.2,18.2,0.19,0.13,-0.06,28.7,35.7,80.4,581.3,105.5,10.0,11.5,86.9,13.8,16.0,85.9,4.34,6.6,65.7,1.32,2.64,0.38,0.0,2.08,30.6,5.09,1.32,0.0,6.42,3.21,1.89,27.2,2.08,6.42,3.4,30.4,1.32,0.19,0.19,0.0,0.57,1.51,1.13,2.83,0.94,0.94,0.19,0.38,0.38,0.0,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.57,0.19,0.19,0.38,0.0,0.0,0.94,0.0,0.94,12.8,3.58,27.9,1.13,6.23,5.47,0.75,0.0,0.75,0.19,0.38,0.0,49.6,0.19,4.53,29.1,19.4,3.21,0.003830645161,0.09133064516,0.5866935484,0.3911290323,0.06471774194,45.1,3.21,4.53,70.8,3.4,0.19,38.5,239.6,116.6,6.04,1.89,0.38,3.4,1.7,50.0,35.5,70.9,7.55
Marius Bülter,de GER,"FW,MF",Union Berlin,de Bundesliga,27.0,1993.0,26,8,977,10.9,0.0,0.09,0.09,0.11,0.18,0.29,1.74,0.64,36.8,0.05,0.14,17.0,0.0,0.1,-0.09,18.3,29.4,62.0,329.9,87.5,8.17,11.4,71.8,7.34,10.6,69.0,2.2,4.22,52.2,1.01,1.1,1.19,0.73,1.38,28.0,1.47,0.0,0.0,5.6,0.83,2.39,18.3,6.61,4.5,8.53,17.2,1.28,1.1,0.37,0.28,0.92,0.83,3.03,2.11,1.74,0.0,0.18,0.0,0.09,0.09,0.28,0.28,0.0,0.0,0.0,0.0,0.0,1.56,0.83,0.73,0.46,0.37,0.18,1.65,11.1,1.47,17.3,4.68,27.0,4.95,8.44,3.94,1.65,0.09,1.56,0.64,1.1,0.0,42.5,1.56,9.36,19.0,18.1,1.93,0.03670588235,0.2202352941,0.4470588235,0.4258823529,0.04541176471,41.0,1.19,2.2,54.2,1.38,0.0,28.7,186.4,95.1,4.22,1.93,0.64,2.57,1.74,38.3,26.6,69.4,4.4
Jimmy Cabot,fr FRA,"FW,MF",Angers,fr Ligue 1,26.0,1994.0,22,8,942,10.5,0.1,0.1,0.19,0.12,0.11,0.23,0.95,0.38,40.0,0.1,0.25,21.0,0.0,0.12,-0.02,30.4,40.8,74.5,527.5,138.9,15.4,18.5,83.5,11.3,15.1,74.8,3.24,5.52,58.6,1.05,1.9,0.95,0.29,2.67,39.4,1.33,0.19,0.19,5.52,1.14,2.0,30.0,5.71,5.05,6.57,33.2,0.57,0.29,0.0,0.0,0.57,1.62,1.52,2.0,1.24,0.1,0.38,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.48,1.52,1.05,0.95,0.48,0.76,3.33,22.9,2.57,19.0,5.05,26.6,5.33,9.05,4.57,1.43,0.0,1.43,1.24,0.38,0.0,55.5,0.38,9.9,26.1,24.3,2.67,0.006846846847,0.1783783784,0.4702702703,0.4378378378,0.04810810811,54.3,3.62,6.29,57.6,4.0,0.38,42.8,211.0,106.9,6.0,2.1,0.57,2.1,2.38,48.7,38.9,79.8,6.29
José Callejón,es ESP,"FW,MF",Fiorentina,it Serie A,33.0,1987.0,20,6,664,7.4,0.14,0.0,0.14,0.18,0.04,0.22,1.22,0.14,11.1,0.0,0.0,17.8,0.0,0.03,-0.04,28.5,38.4,74.3,496.1,105.5,14.5,16.8,86.3,10.7,13.9,76.7,2.7,4.73,57.1,0.68,2.03,1.35,0.54,2.57,35.7,2.7,0.54,0.27,5.54,1.35,2.97,25.3,6.62,6.49,3.78,30.5,1.35,1.89,0.41,0.27,0.27,0.95,2.16,1.62,1.22,0.14,0.0,0.0,0.14,0.14,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.81,0.27,0.14,0.27,0.41,0.54,1.49,36.4,0.95,9.86,3.92,39.7,1.35,4.05,4.46,0.54,0.14,0.41,0.95,0.81,0.0,45.5,1.22,4.32,23.1,21.4,2.3,0.02681318681,0.09494505495,0.5076923077,0.4703296703,0.05054945055,42.8,0.68,0.95,71.4,0.68,0.14,31.8,143.4,73.5,4.19,1.62,0.14,0.81,1.35,43.2,33.2,76.9,5.27
Irvin Cardona,fr FRA,"FW,MF",Brest,fr Ligue 1,22.0,1997.0,36,22,2029,22.5,0.04,0.31,0.35,0.08,0.34,0.42,2.49,0.89,35.7,0.13,0.35,13.0,0.04,0.14,-0.03,15.1,22.0,68.8,247.3,51.6,8.31,11.0,75.7,4.58,6.4,71.5,1.42,2.62,54.2,0.93,0.93,0.71,0.36,1.38,19.8,2.18,0.04,0.04,4.4,1.02,1.6,12.7,5.24,4.04,2.67,16.5,1.56,0.18,0.36,0.09,0.8,0.76,0.89,2.04,1.56,0.09,0.13,0.18,0.09,0.0,0.13,0.04,0.0,0.04,0.0,0.04,0.0,0.4,0.18,0.22,0.09,0.09,0.18,1.11,16.0,0.93,14.0,4.18,29.8,1.56,6.8,5.64,0.8,0.22,0.58,0.4,1.16,0.04,33.2,1.33,3.73,12.8,18.5,5.51,0.04006024096,0.1123493976,0.3855421687,0.5572289157,0.1659638554,31.0,0.49,1.29,37.9,0.58,0.0,19.2,99.1,56.6,3.16,0.58,0.84,3.16,1.02,41.9,24.2,57.8,9.2
Marc Cardona,es ESP,"FW,MF",Osasuna,es La Liga,25.0,1995.0,3,0,53,0.6,0.0,0.0,0.0,0.0,0.3,0.3,1.67,1.67,100.0,0.0,0.0,8.5,0.0,0.17,-0.33,28.3,46.7,60.7,350.0,121.7,21.7,25.0,86.7,5.0,8.33,60.0,0.0,8.33,0.0,0.0,0.0,1.67,0.0,6.67,45.0,1.67,0.0,0.0,8.33,0.0,1.67,20.0,15.0,11.7,11.7,26.7,6.67,1.67,0.0,1.67,1.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,15.0,3.33,22.2,1.67,6.67,6.67,1.67,0.0,1.67,0.0,0.0,0.0,53.3,3.33,11.7,26.7,15.0,5.0,0.06247654784,0.2195121951,0.5009380863,0.2814258912,0.09380863039,51.7,1.67,1.67,100.0,1.67,0.0,31.7,120.0,48.3,1.67,0.0,1.67,0.0,0.0,70.0,36.7,52.4,8.33
