Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,PrgC,PrgP,PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG 
239,Ebony Salmon,eng ENG,"FW,MF",Aston Villa,22,2001,18,5,568,6.3,3,1,4,3,0,0,0,0,1.2,1.2,0.9,2,13,10,51,0.48,0.16,0.63,0.48,0.63,0.18,0.14,0.32,0.18,0.32 
240,Shanice van de Sanden,nl NED,FW,Liverpool,30,1992,10,5,508,5.6,1,0,1,1,0,0,1,0,1.6,1.6,0.1,1.8,10,10,58,0.18,0,0.18,0.18,0.18,0.29,0.02,0.31,0.29,0.31 
241,Veatriki Sarri,gr GRE,"FW,MF",Brighton,25,1998,19,9,768,8.5,0,2,2,0,0,0,1,0,1.3,1.3,0.6,2,21,16,52,0,0.23,0.23,0,0.23,0.16,0.08,0.23,0.16,0.23 
242,Macy Settle,,MF,Everton,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
243,Khadija Shaw,jm JAM,FW,Manchester City,26,1997,18,17,"1,383",15.4,21,3,24,21,0,1,0,0,11.9,11,2.1,13.2,27,45,97,1.37,0.2,1.56,1.37,1.56,0.77,0.14,0.91,0.72,0.86 
244,Zara Shaw,eng ENG,MF,Liverpool,16,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 
245,Risa Shimizu,jp JPN,"DF,MF",West Ham,27,1996,22,22,"1,980",22,1,0,1,1,0,0,3,0,0.4,0.4,0.6,1,11,97,28,0.05,0,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05 
246,Wang Shuang,cn CHN,"MF,FW",Tottenham,28,1995,6,0,144,1.6,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,4,11,16,0,0,0,0,0,0.38,0.28,0.67,0.38,0.67 
247,Remy Siemsen,au AUS,"FW,DF",Leicester City,23,1999,6,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0 
248,Jessica Simpson,eng ENG,DF,Bristol City,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
249,Fearne Slocombe,eng ENG,DF,Bristol City,16,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0 
250,Kirsty Smith,sct SCO,"DF,MF",West Ham,29,1994,22,22,"1,957",21.7,1,0,1,1,0,0,4,0,1.5,1.5,1.5,3,32,65,66,0.05,0,0.05,0.05,0.05,0.07,0.07,0.14,0.07,0.14 
251,Emma Snerle,dk DEN,"MF,FW",West Ham,22,2001,11,5,513,5.7,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,5,16,16,0,0.18,0.18,0,0.18,0.03,0.11,0.13,0.03,0.13 
252,Katja Snoeijs,nl NED,"FW,MF",Everton,26,1996,19,17,"1,519",16.9,3,1,4,3,0,0,3,0,3.4,3.4,2,5.5,22,36,58,0.18,0.06,0.24,0.18,0.24,0.2,0.12,0.32,0.2,0.32 
253,Drew Spence,jm JAM,"MF,FW",Tottenham,30,1992,12,9,687,7.6,2,3,5,2,0,0,3,0,2.6,2.6,2.9,5.5,15,46,33,0.26,0.39,0.66,0.26,0.66,0.34,0.38,0.72,0.34,0.72 
254,Rebecca Spencer,jm JAM,GK,Tottenham,32,1991,16,16,"1,440",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
255,Lucy Staniforth,eng ENG,MF,Aston Villa,30,1992,11,8,738,8.2,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,4,46,20,0,0.12,0.12,0,0.12,0.02,0.07,0.09,0.02,0.09 
256,Jessie Stapleton,ie IRL,DF,West Ham,18,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
257,Dejana Stefanović,rs SRB,"MF,FW",Brighton,26,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0 
258,Elise Stenevik,no NOR,DF,Everton,23,1999,11,11,972,10.8,1,0,1,1,0,0,5,1,0.5,0.5,0.6,1.2,11,39,7,0.09,0,0.09,0.09,0.09,0.05,0.06,0.11,0.05,0.11 
259,Demi Stokes,eng ENG,"DF,FW",Manchester City,31,1991,4,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0 
260,Sarah Stratigakis,ca CAN,"MF,DF",Bristol City,24,1999,6,1,193,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,5,3,0,0,0,0,0,0.06,0,0.06,0.06,0.06 
261,Abbey-Leigh Stringer,eng ENG,MF,West Ham,28,1995,8,7,625,6.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,17,5,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03 
262,Sille Struck,,DF,Bristol City,24,1998,9,8,603,6.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,11,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01 
263,Eveliina Summanen,fi FIN,MF,Tottenham,25,1998,20,20,"1,705",18.9,1,4,5,1,0,0,2,0,0.7,0.7,2.2,2.9,8,107,17,0.05,0.21,0.26,0.05,0.26,0.03,0.12,0.15,0.03,0.15 
264,Emily Syme,eng ENG,MF,Bristol City,23,2000,22,11,"1,027",11.4,0,1,1,0,0,0,0,0,0.4,0.4,0.7,1.1,11,22,19,0,0.09,0.09,0,0.09,0.04,0.06,0.09,0.04,0.09 
265,Maisie Symonds,eng ENG,MF,Brighton,20,2003,20,9,888,9.9,0,3,3,0,0,0,3,0,0.4,0.4,2.4,2.9,6,40,19,0,0.3,0.3,0,0.3,0.05,0.24,0.29,0.05,0.29 
266,Nicoline Sørensen,dk DEN,"FW,MF",Everton,25,1997,9,8,646,7.2,0,0,0,0,0,0,0,0,1,1,0.2,1.2,21,19,51,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17 
267,Saori Takarada,jp JPN,MF,Leicester City,23,1999,12,11,964,10.7,1,1,2,1,0,0,1,0,1.1,1.1,0.7,1.8,3,68,10,0.09,0.09,0.19,0.09,0.19,0.1,0.07,0.17,0.1,0.17 
268,Miri Taylor,eng ENG,"FW,MF",Liverpool,23,2000,3,1,82,0.9,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,0,1,8,1.1,0,1.1,1.1,1.1,0.32,0,0.32,0.32,0.32 
269,Miri Taylor,eng ENG,MF,Aston Villa,23,2000,8,4,281,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,12,0,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04 
270,Tianna Teisar,wls WAL,FW,Bristol City,17,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 
271,Elisabeth Terland,no NOR,FW,Brighton,22,2001,22,21,"1,782",19.8,13,1,14,13,0,0,3,0,8.3,8.3,0.6,8.9,28,38,81,0.66,0.05,0.71,0.66,0.71,0.42,0.03,0.45,0.42,0.45 
272,Amalie Thestrup,dk DEN,"FW,MF",Bristol City,28,1995,22,22,"1,866",20.7,9,0,9,7,2,2,1,0,6.9,5.3,1,6.3,16,19,55,0.43,0,0.43,0.34,0.34,0.33,0.05,0.38,0.26,0.3 
273,Julie Thibaud,fr FRA,DF,Leicester City,25,1998,20,17,"1,494",16.6,0,0,0,0,0,0,3,0,0.5,0.5,0.5,1,9,60,5,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06 
274,Martha Thomas,sct SCO,FW,Tottenham,27,1996,19,17,"1,371",15.2,7,3,10,7,0,0,3,0,6.2,6.2,1.3,7.4,26,26,95,0.46,0.2,0.66,0.46,0.66,0.4,0.08,0.49,0.4,0.49 
275,Maria Thorisdottir,no NOR,DF,Brighton,30,1993,20,19,"1,661",18.5,0,2,2,0,0,0,3,0,0,0,0.8,0.8,4,39,0,0,0.11,0.11,0,0.11,0,0.04,0.04,0,0.04 
276,Samantha Tierney,eng ENG,MF,Leicester City,24,1998,22,22,"1,980",22,3,3,6,3,0,0,2,0,2.8,2.8,2.5,5.4,16,87,74,0.14,0.14,0.27,0.14,0.27,0.13,0.11,0.24,0.13,0.24 
277,Ella Toone,eng ENG,MF,Manchester Utd,23,1999,22,20,"1,726",19.2,6,4,10,6,0,0,1,0,3.5,3.5,2.8,6.3,29,138,121,0.31,0.21,0.52,0.31,0.52,0.18,0.15,0.33,0.18,0.33 
278,Amy Turner,eng ENG,DF,Tottenham,32,1991,14,12,"1,162",12.9,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,1,23,2,0.08,0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04 
279,Danielle Turner,eng ENG,DF,Aston Villa,31,1991,18,15,"1,343",14.9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,5,42,4,0.07,0,0.07,0.07,0.07,0.03,0.02,0.04,0.03,0.04 
280,Millie Turner,eng ENG,DF,Manchester Utd,27,1996,22,22,"1,931",21.5,2,1,3,2,0,0,2,0,2.3,2.3,0.2,2.5,4,72,5,0.09,0.05,0.14,0.09,0.14,0.11,0.01,0.12,0.11,0.12 
281,Amber Tysiak,be BEL,DF,West Ham,23,2000,17,16,"1,421",15.8,1,0,1,1,0,0,2,0,0.7,0.7,0.2,0.8,2,20,0,0.06,0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05 
282,Riko Ueki,jp JPN,FW,West Ham,24,1999,22,22,"1,868",20.8,6,1,7,6,0,0,4,0,6.2,6.2,1.5,7.7,36,41,137,0.29,0.05,0.34,0.29,0.34,0.3,0.07,0.37,0.3,0.37 
283,Justine Vanhaevermaet,be BEL,"DF,MF",Everton,31,1992,19,17,"1,509",16.8,1,0,1,1,0,1,3,0,3.2,2.4,0.5,2.9,7,57,8,0.06,0,0.06,0.06,0.06,0.19,0.03,0.22,0.14,0.17 
284,Katrine Veje,dk DEN,DF,Everton,32,1991,13,9,866,9.6,0,2,2,0,0,0,0,0,0.1,0.1,1.1,1.2,17,42,14,0,0.21,0.21,0,0.21,0.01,0.12,0.13,0.01,0.13 
285,Matilda Vinberg,se SWE,"FW,MF",Tottenham,20,2003,11,4,357,4,1,1,2,1,0,0,1,0,1.2,1.2,1,2.2,13,10,31,0.25,0.25,0.5,0.25,0.5,0.3,0.25,0.55,0.3,0.55 
286,Barbora Votíková,cz CZE,GK,Tottenham,26,1996,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
287,Megan Walsh,ie IRL,GK,West Ham,28,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
288,Lia Wälti,ch SUI,MF,Arsenal,30,1993,15,13,"1,148",12.8,0,3,3,0,0,0,2,0,0.4,0.4,0.7,1.1,7,96,18,0,0.24,0.24,0,0.24,0.03,0.06,0.09,0.03,0.09 
289,Mari Ward,eng ENG,"MF,DF",Bristol City,17,2006,21,1,468,5.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,18,23,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07 
290,Clare Wheeler,au AUS,"MF,DF",Everton,25,1998,22,19,"1,794",19.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,16,55,26,0,0.05,0.05,0,0.05,0,0.02,0.02,0,0.02 
291,Aileen Whelan,eng ENG,"FW,MF",Leicester City,31,1991,19,11,"1,055",11.7,1,1,2,1,0,0,1,0,1.6,1.6,1.3,2.8,9,26,66,0.09,0.09,0.17,0.09,0.17,0.13,0.11,0.24,0.13,0.24 
292,Laura Wienroither,at AUT,DF,Arsenal,24,1999,4,0,43,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,5,14,0,0,0,0,0,0.31,0,0.31,0.31,0.31 
293,Annie Wilding,eng ENG,DF,Everton,19,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
294,Rachel Williams,eng ENG,FW,Manchester Utd,35,1988,21,2,578,6.4,5,1,6,5,0,0,1,0,4.1,4.1,0.8,4.9,2,12,26,0.78,0.16,0.93,0.78,0.93,0.64,0.12,0.77,0.64,0.77 
295,Leah Williamson,eng ENG,DF,Arsenal,26,1997,9,8,644,7.2,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,18,92,5,0,0,0,0,0,0.04,0.06,0.09,0.04,0.09 
296,Jessica Wooley,eng ENG,MF,Bristol City,22,2001,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
297,Lotte Wubben-Moy,eng ENG,DF,Arsenal,24,1999,18,17,"1,512",16.8,1,0,1,1,0,0,4,0,1.8,1.8,0.2,2.1,10,134,6,0.06,0,0.06,0.06,0.06,0.11,0.01,0.12,0.11,0.12 
298,Shae Yanez,us USA,GK,Bristol City,26,1997,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
299,Shelina Zadorsky,ca CAN,DF,West Ham,30,1992,9,8,711,7.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,16,4,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02 
300,Shelina Zadorsky,ca CAN,DF,Tottenham,30,1992,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0 
301,Katie Zelem,eng ENG,MF,Manchester Utd,27,1996,22,22,"1,980",22,1,6,7,0,1,1,3,0,1.6,0.8,5.9,6.7,3,152,34,0.05,0.27,0.32,0,0.27,0.07,0.27,0.34,0.04,0.3 
302,Julia Zigiotti Olme,se SWE,MF,Brighton,25,1997,20,18,"1,568",17.4,0,1,1,0,0,0,3,0,0.5,0.5,1,1.5,9,89,29,0,0.06,0.06,0,0.06,0.03,0.06,0.09,0.03,0.09 
303,Manuela Zinsberger,at AUT,GK,Arsenal,27,1995,18,18,"1,620",18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 
304,Jessica Ziu,ie IRL,"MF,FW",West Ham,21,2002,16,11,882,9.8,0,1,1,0,0,0,1,0,0.8,0.8,3,3.8,19,29,44,0,0.1,0.1,0,0.1,0.09,0.3,0.39,0.09,0.39 
